question|answer|distractors
What is 95 + 7524?|7619|1464, 5034
What is 7436 * 1643?|12217348|9376, 9916
What is 5597 + 4268?|9865|7245
What is 2816 * 8315?|23415040|3994, 150
What is 9600 * 6613?|63484800|6022
What is 8429 + 3888?|12317|6033, 6565, 3574, 5869
What is 1937 - 984?|953|4986
What is 848 + 623?|1471|8401, 6751, 979
What is 3396 + 7461?|10857|7655, 6321
What is 7218 * 5594?|40377492|4988, 4258, 4717, 9588
What is 2502 - 2239?|263|7720, 4889, 383, 3454
What is 8081 + 7217?|15298|4158, 6866, 4398
What is 1031 - 864?|167|8456, 3656
What is 6634 - 6373?|261|1960, 6299, 1526
What is 2763 * 6740?|18622620|7772, 7023
What is 2210 + 4412?|6622|974, 6951, 1709, 4479
What is 1179 + 6534?|7713|9594, 1139, 773
What is 5310 - 7282?|-1972|4195
What is 9457 - 9923?|-466|6961, 1131, 1069
What is 5249 * 5481?|28769769|5816, 6114, 5228, 565
What is 1335 - 682?|653|8532
What is 8355 + 2673?|11028|7588, 9843
What is 3831 - 2069?|1762|8035, 9622, 1423
What is 5351 * 125?|668875|1480, 8856, 4197, 6583
What is 4883 * 2128?|10391024|6105, 4989, 5741
What is 3702 * 8841?|32729382|5451, 8757
What is 824 * 9544?|7864256|1392
What is 1666 - 4740?|-3074|2185, 3762, 6751, 1761
What is 4539 * 5053?|22935567|2061, 3966
What is 8347 + 1269?|9616|202, 6719
What is 204 + 3821?|4025|7291, 2049
What is 2240 + 1699?|3939|3788, 2686, 1870
What is 4611 + 6897?|11508|7457, 2580
What is 5151 - 7043?|-1892|3448, 3273, 5491
What is 4273 + 9231?|13504|5881
What is 4679 + 2741?|7420|9633, 6146, 7598
What is 214 - 8179?|-7965|5006, 2854, 9182, 7910
What is 1783 - 8439?|-6656|3890, 332, 8042
What is 5392 * 1465?|7899280|129, 2533
What is 2347 + 4556?|6903|2783
What is 3953 - 699?|3254|4502
What is 8546 * 3282?|28047972|3038, 8093, 9030, 599
What is 7443 * 1621?|12065103|4722, 4687, 301, 2141
What is 5150 - 3873?|1277|544, 5601, 2459, 3427
What is 1386 * 7817?|10834362|1451, 8634, 2190, 6653
What is 6185 + 362?|6547|6529, 5629, 686, 6509
What is 9551 - 3661?|5890|132, 5330, 5165
What is 9877 + 4405?|14282|7544, 1184, 8728
What is 3315 + 123?|3438|6630, 6159, 3421, 2022
What is 9568 + 781?|10349|3720, 1145, 4406, 6263
What is 3712 + 3924?|7636|8850, 6645, 2418, 9415
What is 3884 + 185?|4069|1097, 8507
What is 8676 + 7511?|16187|9905, 2362, 1623, 2671
What is 7281 * 1823?|13273263|8856
What is 7832 - 3387?|4445|4255, 6527
What is 7766 - 1356?|6410|6708, 8974, 6566, 6591
What is 3248 * 3525?|11449200|149
What is 4637 * 9381?|43499697|2688, 8906, 3445, 3857
What is 4045 * 3077?|12446465|9611
What is 8267 * 7071?|58455957|6761, 2066, 8436, 9490
What is 3649 * 309?|1127541|8686
What is 1297 + 2989?|4286|6206
What is 3109 - 1206?|1903|5083, 8012, 533
What is 8318 + 9139?|17457|9548, 4188, 4398, 489
What is 4697 - 3470?|1227|4344, 9633, 3394, 5960
What is 5032 - 7120?|-2088|3125, 2982, 1214
What is 7487 * 4803?|35960061|1809, 5267, 2230
What is 8775 - 5820?|2955|5178
What is 2596 - 2785?|-189|3307
What is 9024 * 2415?|21792960|2780
What is 7329 - 4400?|2929|3413
What is 8179 * 8660?|70830140|7536, 6372, 6442, 3757
What is 6532 - 4119?|2413|5154, 3095
What is 870 * 171?|148770|5137, 1988, 4133
What is 79 * 7549?|596371|7416, 6306, 3410, 3501
What is 6786 * 4249?|28833714|8648, 7045
What is 9345 - 115?|9230|9330, 9356, 4630, 47
What is 4192 + 2034?|6226|4640, 1871
What is 4292 - 9144?|-4852|6622
What is 8565 * 2393?|20496045|9937, 7971, 8765
What is 7848 + 171?|8019|5299
What is 9943 + 3993?|13936|8152, 1975
What is 3731 - 6242?|-2511|7612, 6263
What is 3315 - 9624?|-6309|4220, 9789, 3087
What is 4395 * 6538?|28734510|7777, 2665, 4878, 8319
What is 3463 - 1673?|1790|2762, 1092, 9125, 1439
What is 4091 + 6933?|11024|4601, 514, 5132, 5069
What is 6701 - 3287?|3414|8538, 6547, 582, 725
What is 6839 + 5913?|12752|8519
What is 5574 + 2895?|8469|1417, 8068, 9263
What is 4623 + 6292?|10915|3813
What is 3858 * 9870?|38078460|8840, 2335
What is 6369 + 1383?|7752|6346, 8151
What is 3149 * 3088?|9724112|5555, 3725
What is 3000 + 2653?|5653|7012
What is 5588 * 4570?|25537160|4997
What is 5012 + 9512?|14524|3209, 131, 583
What is 3364 + 1805?|5169|873
What is 8014 - 2624?|5390|4209, 8219, 2052, 9391
What is 9042 + 2372?|11414|3178, 332, 8341
What is 3298 + 7490?|10788|1602, 1955, 9123, 7989
What is 362 * 5653?|2046386|419
What is 2920 + 4843?|7763|6939, 3161
What is 765 + 9912?|10677|8480, 8343, 2437
What is 1308 * 4487?|5868996|3937, 8074, 2509, 8180
What is 4042 + 5818?|9860|1284, 3053, 6757, 287
What is 5148 - 6725?|-1577|8737, 7653
What is 6962 + 5563?|12525|1928, 9087
What is 296 - 5954?|-5658|4197
What is 456 * 5341?|2435496|3818, 740, 5751
What is 4401 - 9703?|-5302|9750, 5711
What is 2127 * 1228?|2611956|9376, 4276, 8182, 505
What is 3362 + 6370?|9732|7241, 5661, 6895
What is 6592 + 2442?|9034|6321, 1732, 6993
What is 7186 + 1564?|8750|9326
What is 7867 * 1072?|8433424|7057, 254, 7615
What is 3379 * 9902?|33458858|2207, 5132, 3414, 6583
What is 1247 - 3547?|-2300|874, 7026, 790, 7151
What is 2262 - 8337?|-6075|4843, 7652
What is 8663 * 2036?|17637868|6941, 1750, 7151
What is 4913 * 2530?|12429890|8374, 54, 5759
What is 7028 * 3414?|23993592|850
What is 5128 + 8485?|13613|5712, 307, 2068
What is 3334 + 3546?|6880|4266, 9173, 1935
What is 4836 + 3057?|7893|8401, 5178, 6043, 1734
What is 8828 + 3290?|12118|5851, 4997
What is 2368 * 5998?|14203264|5456, 4930
What is 3804 - 5903?|-2099|9208, 8868
What is 9303 - 1119?|8184|5220
What is 4137 * 6477?|26795349|8036, 4529, 4988, 4663
What is 9579 * 6285?|60204015|4104, 1287
What is 9199 - 1236?|7963|3192, 8155
What is 3517 * 381?|1339977|8954, 6307, 3797, 1087
What is 4457 - 4517?|-60|9208, 799
What is 7811 + 2470?|10281|2419, 1163, 6460
What is 663 * 4683?|3104829|6272, 9954
What is 374 - 5336?|-4962|8121, 9642, 363
What is 242 - 4307?|-4065|6034, 5738, 5205
What is 7995 * 5541?|44300295|578
What is 3019 + 8535?|11554|4872, 6129, 3008, 4641
What is 5040 * 5422?|27326880|1528, 2954, 9709
What is 4930 - 9647?|-4717|4840, 2416, 179
What is 8136 - 1240?|6896|7529, 8458, 7710
What is 444 * 7019?|3116436|368, 99, 187, 9719
What is 7778 + 7146?|14924|314, 295
What is 329 + 7058?|7387|4292, 6263
What is 4950 - 5791?|-841|1631, 4263
What is 424 - 3368?|-2944|8393, 6634
What is 7868 - 9087?|-1219|1928, 857, 4650
What is 39 * 4916?|191724|8823, 1346, 2707, 7375
What is 2060 - 8443?|-6383|7029, 3905
What is 4471 - 4074?|397|5712, 173
What is 330 * 8059?|2659470|9771, 8506, 507
What is 4618 * 428?|1976504|1465
What is 5901 + 9708?|15609|3058, 8187, 8237
What is 1887 - 8321?|-6434|9693
What is 8913 + 2274?|11187|5848, 9035, 2604, 3591
What is 2218 - 3425?|-1207|2130, 7747, 6282, 1009
What is 2646 * 3788?|10023048|6025
What is 5915 + 1499?|7414|7497, 2682
What is 4399 * 3124?|13742476|4840, 7449
What is 2436 - 1110?|1326|1416, 833, 9619, 701
What is 1318 * 6157?|8114926|8122
What is 1957 * 2059?|4029463|4005, 8946, 6541
What is 5276 * 6096?|32162496|8300, 3469, 6614, 4495
What is 9909 + 2685?|12594|2384, 1138, 3762, 1790
What is 6696 * 9830?|65821680|1591
What is 3668 - 3656?|12|8786
What is 218 - 9474?|-9256|8760
What is 51 + 1837?|1888|6928, 4379, 9947, 9631
What is 6688 - 9744?|-3056|5430
What is 2622 - 8532?|-5910|9147, 5738, 1421, 5661
What is 832 + 8711?|9543|6857, 8074, 1619
What is 7033 + 9422?|16455|7143, 4415, 5581
What is 1826 + 157?|1983|7855, 9196, 2293
What is 1910 * 5427?|10365570|1137, 1835, 8764, 9493
What is 3977 + 7798?|11775|4290, 773
What is 9480 - 9800?|-320|9345, 3660, 6368, 7583
What is 8046 - 9255?|-1209|7829, 5969, 4968, 3525
What is 134 * 6744?|903696|4585, 2450, 4022
What is 5115 * 3393?|17355195|3216, 8764, 9460, 317
What is 4097 * 3465?|14196105|6611, 6831, 5587, 5761
What is 6747 + 6682?|13429|7653
What is 8195 * 2567?|21036565|7353, 4278
What is 6028 + 8806?|14834|2427, 8175
What is 9289 + 9831?|19120|6574, 6759
What is 4154 - 7761?|-3607|4776, 5994
What is 4506 * 516?|2325096|5098
What is 6690 - 805?|5885|7192, 6986, 900
What is 8830 + 2667?|11497|9995, 5756, 2231
What is 2611 - 9529?|-6918|8112, 9366, 1122, 3702
What is 6457 - 7259?|-802|8709
What is 5783 * 7224?|41776392|2760
What is 7310 - 6783?|527|3711
What is 5069 + 8181?|13250|5505, 3890, 2397, 5774
What is 2139 - 1083?|1056|1938, 3647
What is 6794 + 8146?|14940|9004, 3214, 116
What is 2616 - 7778?|-5162|2310, 6559
What is 705 + 1479?|2184|9504, 810, 8155, 765
What is 5736 + 9043?|14779|1400, 7506
What is 1831 * 2498?|4573838|4225
What is 2455 * 5440?|13355200|1477
What is 3477 - 6601?|-3124|796, 6596
What is 3789 + 4665?|8454|3341
What is 2078 - 1055?|1023|3087, 7232, 4991
What is 7807 * 4341?|33890187|2063, 7194, 9470, 6391
What is 9131 + 37?|9168|7632, 2315, 3692, 2677
What is 4527 + 8898?|13425|51
What is 4199 - 9145?|-4946|8473, 4645, 1623
What is 2684 + 6564?|9248|7290
What is 7591 * 773?|5867843|9818, 3189, 4143
What is 7759 - 8214?|-455|3410, 2838, 5670
What is 5263 - 4249?|1014|7624, 95
What is 8445 - 3496?|4949|4352, 9337, 9859, 4308
What is 8524 * 4692?|39994608|5277
What is 5317 + 9199?|14516|4225, 105, 4255
What is 2870 - 747?|2123|7924, 8070
What is 4450 + 8881?|13331|8321, 5922, 9342, 1239
What is 129 - 2903?|-2774|827, 1075
What is 4782 * 5204?|24885528|7544, 8610, 3135
What is 9415 - 6679?|2736|1529
What is 7115 * 118?|839570|7604, 7893, 5950, 3319
What is 8054 * 5272?|42460688|1097, 5235
What is 7481 + 3676?|11157|3561, 2578, 7837
What is 8366 - 8456?|-90|2288, 2013, 3509, 1903
What is 543 - 8273?|-7730|3257, 5347
What is 5815 - 4979?|836|1424, 68, 507, 351
What is 3163 * 4592?|14524496|1288, 1769
What is 7290 + 7895?|15185|8903, 1620, 5662, 4967
What is 7535 * 8473?|63844055|3650, 7965, 6470
What is 5731 * 7844?|44953964|1920, 3078, 8070, 6750
What is 8017 - 8116?|-99|9055, 1743
What is 8118 * 7964?|64651752|9992, 1482, 6114, 9077
What is 9628 + 4221?|13849|205
What is 8800 - 3318?|5482|2480, 3329, 2378, 1617
What is 5105 - 2051?|3054|9515, 8070
What is 3715 * 1171?|4350265|8768
What is 6457 * 5090?|32866130|4917, 3495
What is 2734 * 4271?|11676914|9233, 2191
What is 9928 * 6724?|66755872|610, 795, 639
What is 6437 * 4933?|31753721|5422, 6575
What is 3916 - 4122?|-206|2705
What is 7856 - 4565?|3291|2169, 6351
What is 4746 + 1486?|6232|7114, 3716, 2221, 1558
What is 9743 * 1865?|18170695|9877, 6882, 9242, 1285
What is 5452 - 8781?|-3329|2801, 2829
What is 7845 + 4068?|11913|710
What is 8549 * 3334?|28502366|3512, 2627, 8798, 2373
What is 8445 + 2505?|10950|8122, 8796, 1182, 6359
What is 4617 + 2179?|6796|3053
What is 3728 + 7508?|11236|5338, 9699, 4642
What is 402 - 2188?|-1786|2871
What is 7732 * 1554?|12015528|87
What is 1197 * 582?|696654|3368
What is 1060 + 5323?|6383|2459, 3606, 9838
What is 8445 + 9746?|18191|5656, 4729, 7571
What is 8716 * 1096?|9552736|6088
What is 1388 - 6896?|-5508|592
What is 9435 + 460?|9895|1603, 6547, 686
What is 4581 - 3773?|808|3729, 6282
What is 5662 + 7111?|12773|3561, 6210, 3455
What is 7641 + 6987?|14628|1744, 697, 8274, 3574
What is 7538 * 7577?|57115426|1257, 7180, 3266, 8198
What is 5501 + 5776?|11277|5088, 3430, 8134
What is 1186 + 5859?|7045|9208, 3603
What is 8484 + 3621?|12105|5650, 382
What is 5138 * 7479?|38427102|4376, 4186, 7051
What is 4527 - 5375?|-848|5586, 6605
What is 4151 - 2910?|1241|8704, 5427, 7867, 5397
What is 3318 * 922?|3059196|7209, 3754, 4605, 8511
What is 6570 * 9441?|62027370|5496, 5346, 4933, 3842
What is 3686 + 1995?|5681|5344, 1962, 9604, 725
What is 2720 + 2003?|4723|4797
What is 9987 * 6320?|63117840|6305, 6883, 2877
What is 6228 - 5318?|910|7874, 1485
What is 1942 * 88?|170896|984, 4135
What is 2819 + 842?|3661|6736
What is 1999 * 6999?|13991001|4853, 8977
What is 6041 - 3914?|2127|3000, 9845, 9614
What is 4327 + 9117?|13444|4185, 1419
What is 8790 - 872?|7918|6537, 1851, 3958
What is 2987 * 9895?|29556365|4651, 9996, 4342
What is 2296 + 2140?|4436|1184, 3233, 1886, 4841
What is 2576 * 1409?|3629584|4034, 1692, 5661, 8479
What is 8070 * 4064?|32796480|8340, 5766, 6614, 1421
What is 3871 * 7691?|29771861|5457, 5684
What is 4134 * 8437?|34878558|1800, 9393, 5946, 6525
What is 470 + 9877?|10347|9043, 2762
What is 6548 + 5866?|12414|9383, 5107, 6603, 4719
What is 4957 + 7911?|12868|7468
What is 4005 - 4747?|-742|2216
What is 3195 + 1322?|4517|3040, 2802, 8268, 8757
What is 9189 - 5839?|3350|8361, 5387
What is 8284 - 1097?|7187|7779
What is 3569 - 3445?|124|592, 2105, 3854
What is 5625 - 1052?|4573|5506
What is 6013 - 1833?|4180|9952
What is 6877 + 2845?|9722|4000, 5264, 2478
What is 7831 + 4779?|12610|5419, 2765, 5063
What is 8701 - 9224?|-523|9438
What is 6195 + 6167?|12362|5956, 3926, 47
What is 3299 + 3313?|6612|578, 3750, 3934
What is 3645 + 3020?|6665|1115, 4619, 3638
What is 4971 - 4268?|703|1606
What is 6533 * 4561?|29797013|5553, 2763
What is 5022 + 4921?|9943|289, 9375, 7102
What is 1207 + 7835?|9042|2505, 7183
What is 5361 * 4483?|24033363|8078, 1622, 4799
What is 56 - 4366?|-4310|3371
What is 4119 - 1957?|2162|6424, 3427, 7339, 526
What is 1779 * 5780?|10282620|1728, 7836, 9042, 5289
What is 7936 - 737?|7199|8798
What is 896 + 579?|1475|698
What is 8960 + 9277?|18237|9952, 2743
What is 4114 * 166?|682924|4700
What is 1393 * 7282?|10143826|5640
What is 2428 + 2407?|4835|3716, 7652
What is 7369 + 9131?|16500|4840, 6577, 7650
What is 403 + 4954?|5357|6130
What is 3546 - 4822?|-1276|704, 2533, 6871
What is 3241 + 1059?|4300|1728
What is 9150 - 8097?|1053|5646, 54
What is 8302 + 5386?|13688|7752
What is 277 - 3070?|-2793|8510
What is 9101 * 7477?|68048177|19, 2707, 829
What is 9329 * 1762?|16437698|1115
What is 7746 + 4497?|12243|4179, 2555
What is 6879 - 7708?|-829|379, 3668, 2525, 6758
What is 2993 + 4375?|7368|2578
What is 3094 * 8750?|27072500|3281
What is 7333 * 2827?|20730391|9336, 5121, 6626, 5069
What is 3717 * 167?|620739|7293, 5470, 4757
What is 9936 - 6073?|3863|8560, 6865, 9450, 8843
What is 3195 + 1745?|4940|6428, 9282, 2492
What is 8417 - 6390?|2027|3368, 3217
What is 4859 * 1166?|5665594|2027, 8949, 2901, 7413
What is 6805 - 8023?|-1218|3572
What is 4996 - 6548?|-1552|5627
What is 2786 + 3324?|6110|4274, 1959
What is 5487 * 1054?|5783298|180, 1410
What is 2760 + 4934?|7694|5921, 5398
What is 5384 * 7634?|41101456|6329, 9146, 6724
What is 2559 * 3453?|8836227|1834, 7314
What is 4065 * 3670?|14918550|8433
What is 5392 + 9928?|15320|3939, 4451, 6405, 7118
What is 2310 * 2924?|6754440|2307
What is 229 * 6711?|1536819|7692, 604, 6765, 4022
What is 2441 + 4832?|7273|4230, 9285, 3958, 2191
What is 7982 + 8376?|16358|6304, 6915
What is 3292 - 6470?|-3178|7416, 4462, 9693
What is 1073 - 2379?|-1306|7195
What is 3714 - 7731?|-4017|6401, 6999, 3524, 6828
What is 5950 * 9898?|58893100|2532, 1948, 4891, 65
What is 6461 + 6706?|13167|8285
What is 6049 * 8836?|53448964|7288, 2613, 662
What is 1954 + 4839?|6793|7274, 7835, 9796, 9990
What is 7008 * 2838?|19888704|3656, 8676, 4421, 8286
What is 7654 * 5609?|42931286|8456, 3434, 9373, 6687
What is 6597 + 5128?|11725|9534
What is 1770 + 9212?|10982|6600, 1042, 9269
What is 4359 * 1934?|8430306|7053
What is 38 * 535?|20330|196
What is 3306 + 8401?|11707|7655, 7348, 4799
What is 3227 - 5207?|-1980|5088, 321, 480, 1975
What is 5339 * 1395?|7447905|134, 2975
What is 1668 - 8806?|-7138|8807, 8358, 8607
What is 3922 - 3939?|-17|7634, 6758
What is 9415 - 1888?|7527|8255
What is 1791 + 6394?|8185|8049, 8067, 1377
What is 1977 * 6130?|12119010|1629
What is 3519 - 4030?|-511|9982
What is 1661 + 3210?|4871|9225, 7775, 5655
What is 3657 - 3247?|410|8796, 8342
What is 2626 - 6278?|-3652|3360, 3161
What is 132 - 5012?|-4880|1825, 230
What is 9415 + 3061?|12476|4266, 4578
What is 4057 - 4150?|-93|7859, 6018, 4562
What is 3050 - 7798?|-4748|1412
What is 7643 * 5153?|39384379|7171, 6808, 8012
What is 5451 + 6921?|12372|2000, 9916, 5429, 5696
What is 3693 * 7078?|26139054|908, 8706, 2571, 1316
What is 7076 * 8592?|60796992|50, 3702, 2190
What is 6535 * 3557?|23244995|7536, 5264, 7156
What is 8875 - 1576?|7299|2240
What is 2120 + 6954?|9074|416
What is 3773 + 390?|4163|1175
What is 7988 + 7393?|15381|9025, 7237, 8741
What is 5571 + 4791?|10362|1702
What is 9818 - 1882?|7936|9680, 1158, 3694
What is 82 - 436?|-354|7616, 1465, 7596, 8519
What is 1365 + 3035?|4400|2939, 3918, 2143
What is 3961 + 5624?|9585|7003, 5347, 252
What is 862 + 2493?|3355|2688, 8900, 3692, 8798
What is 5214 + 5308?|10522|2050, 7766, 4887
What is 5021 - 4621?|400|8593, 9125
What is 8024 * 3655?|29327720|9449
What is 3597 * 2278?|8193966|6961, 445, 8415
What is 1246 * 494?|615524|7744, 761, 7773, 629
What is 5540 * 7038?|38990520|3321, 4605
What is 2127 * 11?|23397|9332, 3972, 2854
What is 4693 * 723?|3393039|5472, 235
What is 8690 - 7365?|1325|4930
What is 4791 - 3318?|1473|2288, 6851, 6742
What is 7498 - 2086?|5412|8786, 8963, 8749, 3287
What is 7615 + 7315?|14930|1084, 9077
What is 8430 * 8021?|67617030|9952, 1524, 6357, 6511
What is 7143 + 5959?|13102|7931
What is 8969 + 6912?|15881|9781, 4717, 4193
What is 5125 + 1874?|6999|8729, 1667
What is 9876 * 9173?|90592548|4578, 7853
What is 7972 - 7826?|146|5110, 8711
What is 224 - 6653?|-6429|9, 3242
What is 3242 * 6032?|19555744|1176
What is 4079 + 8018?|12097|5356, 2078, 2103
What is 5291 + 4870?|10161|2219, 1793, 5053, 1079
What is 9388 * 3687?|34613556|321, 258, 780
What is 6327 + 5018?|11345|9588, 526
What is 4052 * 9414?|38145528|3993, 6782, 1814
What is 274 + 107?|381|1050
What is 8323 - 5753?|2570|1235, 7886
What is 6329 + 6950?|13279|911
What is 5639 + 3601?|9240|2632, 3279
What is 5679 - 7025?|-1346|1648, 2194, 795, 4572
What is 8344 - 3714?|4630|1382
What is 330 + 9422?|9752|2897, 8427, 4532
What is 6923 * 738?|5109174|9337, 6827, 2644
What is 6719 + 8888?|15607|9306
What is 482 - 4720?|-4238|4000, 8394
What is 8625 - 2171?|6454|7091, 6900
What is 3178 * 4979?|15823262|2511, 6583, 6679
What is 6660 + 3376?|10036|4434, 4426, 9074, 9877
What is 7983 * 5195?|41471685|4251, 1197
What is 763 * 1200?|915600|3600, 8626, 3226
What is 9532 - 6281?|3251|3509
What is 9785 * 1838?|17984830|368
What is 8480 - 6873?|1607|2416, 8187
What is 9078 - 259?|8819|8840, 3906, 8262, 7975
What is 9737 * 3103?|30213911|5594, 9564
What is 1467 * 6703?|9833301|6681, 4091, 7799
What is 2161 + 6456?|8617|1379, 1631
What is 9470 + 4580?|14050|5013, 5709
What is 9111 * 2930?|26695230|7826, 8244, 4010, 4962
What is 1871 + 314?|2185|2764, 8102, 7857
What is 2751 + 9198?|11949|1708, 3038
What is 7967 - 8353?|-386|5794, 2822, 2511
What is 881 - 2525?|-1644|46, 2605, 3894
What is 6169 - 1436?|4733|8751, 2999
What is 6550 - 6544?|6|3888, 1768, 5612, 1693
What is 9510 - 5256?|4254|5273
What is 2768 * 1858?|5142944|2817, 9449
What is 2307 * 4950?|11419650|9345, 2871
What is 598 - 3347?|-2749|2822, 4926
What is 2959 * 5947?|17597173|4769, 607, 3918, 1493
What is 142 * 5786?|821612|8836
What is 2077 + 8759?|10836|8704, 8433, 7643
What is 4801 - 4515?|286|8706, 2419, 8197
What is 1806 - 3591?|-1785|7753, 8650, 9990, 9382
What is 8496 + 7106?|15602|7232, 9439, 6903
What is 2567 - 3323?|-756|6529, 1156, 3438
What is 9383 - 2596?|6787|6136, 897, 4991
What is 4947 + 8912?|13859|4117, 6807
What is 6351 * 7915?|50268165|3371, 51
What is 7593 - 3481?|4112|1840, 1733
What is 6578 + 892?|7470|7091
What is 1111 * 1573?|1747603|5724, 4757, 4398
What is 5170 * 6326?|32705420|3090
What is 2610 - 1542?|1068|4988, 2450, 6596, 6981
What is 6704 + 5048?|11752|3064, 2943, 5184, 2983
What is 8688 - 7826?|862|768, 7098, 3764, 3861
What is 5393 + 1878?|7271|9960, 6743, 3331, 7043
What is 1060 - 457?|603|1220, 7892, 1915
What is 9886 * 9316?|92097976|4001, 4220
What is 4196 - 9027?|-4831|9595, 7380, 4423
What is 3009 + 7095?|10104|7025, 9146, 187
What is 15 - 4101?|-4086|5960, 6628, 5562, 4151
What is 6831 + 3060?|9891|347, 878, 7795
What is 7542 - 4427?|3115|6072, 3638, 6895
What is 8865 + 5519?|14384|3014
What is 7563 + 9159?|16722|9273, 2237, 8550
What is 2063 * 7785?|16060455|4249, 8911, 6313, 8422
What is 5391 * 4687?|25267617|9219
What is 148 * 127?|18796|7688, 3994, 8085, 5646
What is 3312 * 4594?|15215328|5633
What is 4738 + 4056?|8794|9117, 8283, 5482, 2210
What is 2263 * 2431?|5501353|368, 9268, 3949, 1417
What is 6756 - 2423?|4333|3600, 2019, 8140, 8134
What is 4419 + 2881?|7300|6362, 9051, 8495
What is 3572 * 5292?|18903024|8530, 5627, 2437
What is 4112 - 7662?|-3550|1513, 9708, 2822, 4023
What is 65 * 6407?|416455|6628, 1694, 6286
What is 3563 + 7776?|11339|5134
What is 1414 * 3056?|4321184|5119, 1565, 5917, 1143
What is 4994 - 1631?|3363|4852
What is 6414 - 2414?|4000|3318, 8006
What is 1159 - 972?|187|8883
